lon,lat,alt_m,time_s,drone_id
116.280000,39.895000,100.0,0,UAV-ALPHA
116.280404,39.895000,100.0,1,UAV-ALPHA
116.280808,39.895000,100.0,2,UAV-ALPHA
116.281212,39.895000,100.0,3,UAV-ALPHA
116.281616,39.895000,100.0,4,UAV-ALPHA
116.282020,39.895000,100.0,5,UAV-ALPHA
116.282424,39.895000,100.0,6,UAV-ALPHA
116.282828,39.895000,100.0,7,UAV-ALPHA
116.283232,39.895000,100.0,8,UAV-ALPHA
116.283636,39.895000,100.0,9,UAV-ALPHA
116.284040,39.895000,100.0,10,UAV-ALPHA
116.284444,39.895000,100.1,11,UAV-ALPHA
116.284848,39.895000,100.1,12,UAV-ALPHA
116.285253,39.895000,100.1,13,UAV-ALPHA
116.285657,39.895000,100.1,14,UAV-ALPHA
116.286061,39.895000,100.1,15,UAV-ALPHA
116.286465,39.895000,100.1,16,UAV-ALPHA
116.286869,39.895000,100.1,17,UAV-ALPHA
116.287273,39.895000,100.1,18,UAV-ALPHA
116.287677,39.895000,100.1,19,UAV-ALPHA
116.288081,39.895000,100.1,20,UAV-ALPHA
116.288485,39.895000,100.1,21,UAV-ALPHA
116.288889,39.895000,100.1,22,UAV-ALPHA
116.289293,39.895000,100.1,23,UAV-ALPHA
116.289697,39.895000,100.1,24,UAV-ALPHA
116.290101,39.895000,100.1,25,UAV-ALPHA
116.290505,39.895000,100.1,26,UAV-ALPHA
116.290909,39.895000,100.1,27,UAV-ALPHA
116.291313,39.895000,100.1,28,UAV-ALPHA
116.291717,39.895000,100.1,29,UAV-ALPHA
116.292121,39.895000,100.1,30,UAV-ALPHA
116.292525,39.895000,100.2,31,UAV-ALPHA
116.292929,39.895000,100.2,32,UAV-ALPHA
116.293333,39.895000,100.2,33,UAV-ALPHA
116.293737,39.895000,100.2,34,UAV-ALPHA
116.294141,39.895000,100.2,35,UAV-ALPHA
116.294545,39.895000,100.2,36,UAV-ALPHA
116.294949,39.895000,100.2,37,UAV-ALPHA
116.295354,39.895000,100.2,38,UAV-ALPHA
116.295758,39.895000,100.2,39,UAV-ALPHA
116.296162,39.895000,100.2,40,UAV-ALPHA
116.296566,39.895000,100.2,41,UAV-ALPHA
116.296970,39.895000,100.2,42,UAV-ALPHA
116.297374,39.895000,100.2,43,UAV-ALPHA
116.297778,39.895000,100.2,44,UAV-ALPHA
116.298182,39.895000,100.2,45,UAV-ALPHA
116.298586,39.895000,100.2,46,UAV-ALPHA
116.298990,39.895000,100.2,47,UAV-ALPHA
116.299394,39.895000,100.2,48,UAV-ALPHA
116.299798,39.895000,100.2,49,UAV-ALPHA
116.300202,39.895000,100.2,50,UAV-ALPHA
116.300606,39.895000,100.3,51,UAV-ALPHA
116.301010,39.895000,100.3,52,UAV-ALPHA
116.301414,39.895000,100.3,53,UAV-ALPHA
116.301818,39.895000,100.3,54,UAV-ALPHA
116.302222,39.895000,100.3,55,UAV-ALPHA
116.302626,39.895000,100.3,56,UAV-ALPHA
116.303030,39.895000,100.3,57,UAV-ALPHA
116.303434,39.895000,100.3,58,UAV-ALPHA
116.303838,39.895000,100.3,59,UAV-ALPHA
116.304242,39.895000,100.3,60,UAV-ALPHA
116.304646,39.895000,100.3,61,UAV-ALPHA
116.305051,39.895000,100.3,62,UAV-ALPHA
116.305455,39.895000,100.3,63,UAV-ALPHA
116.305859,39.895000,100.3,64,UAV-ALPHA
116.306263,39.895000,100.3,65,UAV-ALPHA
116.306667,39.895000,100.3,66,UAV-ALPHA
116.307071,39.895000,100.3,67,UAV-ALPHA
116.307475,39.895000,100.3,68,UAV-ALPHA
116.307879,39.895000,100.3,69,UAV-ALPHA
116.308283,39.895000,100.3,70,UAV-ALPHA
116.308687,39.895000,100.4,71,UAV-ALPHA
116.309091,39.895000,100.4,72,UAV-ALPHA
116.309495,39.895000,100.4,73,UAV-ALPHA
116.309899,39.895000,100.4,74,UAV-ALPHA
116.310303,39.895000,100.4,75,UAV-ALPHA
116.310707,39.895000,100.4,76,UAV-ALPHA
116.311111,39.895000,100.4,77,UAV-ALPHA
116.311515,39.895000,100.4,78,UAV-ALPHA
116.311919,39.895000,100.4,79,UAV-ALPHA
116.312323,39.895000,100.4,80,UAV-ALPHA
116.312727,39.895000,100.4,81,UAV-ALPHA
116.313131,39.895000,100.4,82,UAV-ALPHA
116.313535,39.895000,100.4,83,UAV-ALPHA
116.313939,39.895000,100.4,84,UAV-ALPHA
116.314343,39.895000,100.4,85,UAV-ALPHA
116.314747,39.895000,100.4,86,UAV-ALPHA
116.315152,39.895000,100.4,87,UAV-ALPHA
116.315556,39.895000,100.4,88,UAV-ALPHA
116.315960,39.895000,100.4,89,UAV-ALPHA
116.316364,39.895000,100.4,90,UAV-ALPHA
116.316768,39.895000,100.5,91,UAV-ALPHA
116.317172,39.895000,100.5,92,UAV-ALPHA
116.317576,39.895000,100.5,93,UAV-ALPHA
116.317980,39.895000,100.5,94,UAV-ALPHA
116.318384,39.895000,100.5,95,UAV-ALPHA
116.318788,39.895000,100.5,96,UAV-ALPHA
116.319192,39.895000,100.5,97,UAV-ALPHA
116.319596,39.895000,100.5,98,UAV-ALPHA
116.320000,39.895000,100.5,99,UAV-ALPHA
116.320000,39.895300,100.5,100,UAV-ALPHA
116.319596,39.895300,100.5,101,UAV-ALPHA
116.319192,39.895300,100.5,102,UAV-ALPHA
116.318788,39.895300,100.5,103,UAV-ALPHA
116.318384,39.895300,100.5,104,UAV-ALPHA
116.317980,39.895300,100.5,105,UAV-ALPHA
116.317576,39.895300,100.5,106,UAV-ALPHA
116.317172,39.895300,100.5,107,UAV-ALPHA
116.316768,39.895300,100.5,108,UAV-ALPHA
116.316364,39.895300,100.5,109,UAV-ALPHA
116.315960,39.895300,100.5,110,UAV-ALPHA
116.315556,39.895300,100.6,111,UAV-ALPHA
116.315152,39.895300,100.6,112,UAV-ALPHA
116.314747,39.895300,100.6,113,UAV-ALPHA
